Subject,ICsRejected,ThetaMean,AlphaMean,BetaMean
sub-037,4,0.1023,0.8016,0.0961
sub-038,5,0.1409,0.4935,0.3656
sub-040,4,0.1324,0.6670,0.2006
sub-001,5,0.5855,0.1998,0.2147
sub-002,4,0.1876,0.6115,0.2010
sub-003,2,0.2821,0.6551,0.0627
