Subject,ICsRejected,ThetaMean,AlphaMean,BetaMean
sub-004,8,0.6215,0.1867,0.1919
sub-001,5,0.5854,0.1997,0.2149
sub-067,7,0.0884,0.4291,0.4825
sub-002,4,0.1875,0.6115,0.2010
