Channel,ThetaPower,AlphaPower,BetaPower
Fp1,5.93286514282227,2.28821110725403,2.34002423286438
Fp2,5.36220645904541,1.9103239774704,1.60221064090729
F3,2.05049729347229,0.582773864269257,0.707453012466431
F4,5.59364032745361,1.78932201862335,1.48722779750824
C3,5.92555522918701,1.56639349460602,4.90528154373169
C4,3.45663404464722,0.889391481876373,0.777944564819336
P3,5.31751871109009,1.63470208644867,1.40044748783112
P4,3.95413684844971,1.1724249124527,1.16941177845001
O1,4.15208339691162,1.52080917358398,1.24762225151062
O2,4.69786167144775,1.48022937774658,1.18220162391663
F7,4.18331575393677,0.876612305641174,0.630050718784332
F8,5.75803279876709,2.40158462524414,2.1775598526001
T3,16.8811645507812,3.58752536773682,3.31153559684753
T4,3.10262823104858,0.991170942783356,0.946001410484314
T5,7.13467645645142,1.89739418029785,1.71844112873077
T6,3.12374114990234,0.881097912788391,0.881433010101318
Fz,5.67818832397461,1.85930168628693,1.84787225723267
Cz,2.89258193969727,1.18309009075165,1.58747923374176
Pz,3.28930974006653,1.04820537567139,0.719425797462463
