,mean_node_degree
Fp1,0.0
Fp2,0.5517241379310345
F3,1.6206896551724137
F4,2.0344827586206895
C3,3.586206896551724
C4,3.3793103448275863
P3,4.586206896551724
P4,4.896551724137931
O1,6.172413793103448
O2,6.827586206896552
F7,7.103448275862069
F8,8.344827586206897
T7,7.586206896551724
T8,7.620689655172414
P7,10.310344827586206
P8,10.172413793103448
Fz,12.137931034482758
Cz,12.96551724137931
Pz,13.862068965517242
