Channel,ThetaPower,AlphaPower,BetaPower
Fp1,2.54068517684937,9.72431087493896,2.7632110118866
Fp2,2.75807213783264,12.345160484314,3.1738166809082
F3,2.77448964118958,8.52382755279541,5.38556337356567
F4,3.51866149902344,11.9733686447144,5.77192831039429
C3,1.79549872875214,4.76108551025391,3.14549422264099
C4,2.06157636642456,5.37009429931641,3.2430317401886
P3,3.19511532783508,12.632887840271,3.95752930641174
P4,2.57761144638062,9.6019868850708,3.2397780418396
O1,4.09564113616943,21.188346862793,3.9444522857666
O2,3.38730096817017,16.8040523529053,3.30323576927185
F7,6.97978019714355,14.5082569122314,5.55747556686401
F8,4.1651782989502,12.0401935577393,4.10518646240234
T3,6.16577911376953,13.5238914489746,4.84846878051758
T4,2.9904990196228,7.33105611801147,3.17150092124939
T5,6.90306091308594,21.324239730835,4.90450191497803
T6,5.35684204101562,19.9390850067139,3.86024570465088
Fz,3.63719630241394,12.1836938858032,4.50662326812744
Cz,3.47190546989441,8.54491996765137,4.17922401428223
Pz,4.00633573532104,13.6455297470093,4.50418901443481
