Channel,ThetaPower,AlphaPower,BetaPower
Fp1,7.45584440231323,19.459545135498,1.20806288719177
Fp2,8.22499656677246,18.5059490203857,1.23536241054535
F3,7.32534551620483,14.7639808654785,1.942906498909
F4,6.96509742736816,11.9731950759888,1.66411161422729
C3,6.15453433990479,15.0019302368164,2.17967247962952
C4,5.50280570983887,15.9477615356445,2.34606623649597
P3,11.812427520752,22.8426189422607,2.72289395332336
P4,9.61634922027588,42.2911109924316,2.90319085121155
O1,15.6792449951172,28.0824604034424,2.60921549797058
O2,13.7973194122314,39.7394371032715,3.04009032249451
F7,6.34656429290771,16.5984840393066,1.46116602420807
F8,6.81434297561646,14.3203258514404,1.29960310459137
T3,4.30391836166382,9.30195903778076,1.17254960536957
T4,4.05152368545532,8.23931407928467,1.38894307613373
T5,17.7826042175293,28.8713436126709,2.53937649726868
T6,15.9350938796997,68.524787902832,3.28102111816406
Fz,11.7579212188721,19.0491828918457,1.75200259685516
Cz,10.9796962738037,13.4847726821899,2.42470216751099
Pz,13.4875679016113,31.2609043121338,2.4759247303009
